Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Year,Genre
7082,Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,Square Enix  ,Square Enix  ,6.7,,0.21,0.08,0.08,0.03,0.39,2009,Adventure
7083,NBA Live 09,PSP,Electronic Arts  ,EA Canada  ,6.1,,0.23,0.07,0.03,0.06,0.39,2008,Sports
7084,Laser Blast,2600,Activision  ,Activision  ,,,0.37,0.02,,0.0,0.39,1981,Action
7085,Just Dance 2016,PS4,Ubisoft  ,Ubisoft Paris  ,,,0.19,0.13,,0.07,0.39,2015,Music
7086,Deus Ex: Mankind Divided,XOne,Square Enix  ,Eidos Montreal  ,,,0.25,0.11,,0.04,0.39,2016,Role-Playing
7087,Thrasher Presents: Skate and Destroy,PS,Rockstar Games  ,Z-Axis  ,,,0.22,0.15,,0.03,0.39,1999,Sports
7088,Alpha Protocol,X360,Sega  ,Obsidian Entertainment  ,6.8,,0.23,0.13,,0.04,0.39,2010,Role-Playing
7089,Dungeon Siege III,PS3,Square Enix  ,Obsidian Entertainment  ,7.3,,0.17,0.13,0.03,0.06,0.39,2011,Role-Playing
7090,Are You Smarter than a 5th Grader? Make the Grade,DS,THQ  ,THQ  ,,,0.36,,,0.03,0.39,2008,Misc
7091,NHL 18,XOne,EA Sports  ,EA Canada  ,,,0.32,0.03,,0.04,0.39,2017,Sports
7092,SpongeBob's Truth or Square (US sales),PSP,THQ  ,Heavy Iron Studios  ,,,0.39,0.0,,,0.39,2009,Action
7093,Donkey Konga 2,GC,Nintendo  ,Namco  ,6.5,,0.3,0.08,,0.01,0.39,2005,Misc
7094,Just Dance 2014,PS3,Ubisoft  ,Ubisoft Paris  ,7.8,,0.17,0.15,,0.07,0.39,2013,Music
7095,Tear Ring Saga Yutona Eiyuu Senki,PS,Enterbrain  ,ASCII Entertainment / Tirnanog  ,,,,,0.37,0.03,0.39,2001,Role-Playing
7096,SpongeBob's Truth or Square (US sales),Wii,THQ  ,Heavy Iron Studios  ,,,0.38,0.01,,,0.39,2009,Action
7097,Condemned 2: Bloodshot,PS3,Sega  ,Monolith Productions  ,8.4,,0.17,0.16,,0.06,0.39,2008,Shooter
7098,Taiko no Tatsujin Wii: Ketteiban,Wii,Namco Bandai  ,Bandai Namco Games  ,,,,,0.39,,0.39,2011,Misc
7099,Disney Princess: Enchanting Storybooks,Wii,THQ  ,THQ  ,,,0.25,0.1,,0.03,0.39,2011,Misc
7100,Monopoly Streets,PS3,Electronic Arts  ,Electronic Arts  ,,,0.16,0.17,,0.06,0.39,2010,Misc
7101,SSX 3,XB,EA Sports BIG   ,EA Canada  ,,,0.29,0.08,,0.01,0.39,2003,Sports
7102,Madden NFL 2005,GBA,EA Sports  ,Exient Entertainment  ,,,0.28,0.1,,0.01,0.39,2004,Sports
7103,All-Star Baseball 2000,N64,Acclaim Entertainment  ,Iguana Entertainment  ,,,0.36,0.03,,0.0,0.39,1999,Sports
7104,BattleTanx: Global Assault,N64,3DO  ,3DO  ,,,0.31,0.07,,0.0,0.39,1999,Action
7105,Custom Robo V2,N64,Nintendo  ,Noise Inc.  ,,,,,0.34,0.05,0.39,2000,Fighting
7106,Extreme-G: XG2,N64,Acclaim Entertainment  ,Probe Entertainment Limited  ,,,0.31,0.07,,0.0,0.39,1998,Racing
7107,Hatsune Miku: Project DIVA F,All,Sega  ,Sega  ,,,,,,,,2014,Music
7108,Ryu ga Gotoku Ishin!,All,Sega  ,Sega  ,,,,,,,,2014,Action-Adventure
7109,Monster Jam: Urban Assault,DS,Activision  ,Torus Games  ,,,0.36,0.0,,0.03,0.39,2008,Racing
7110,Batman: Arkham VR,PS4,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,,,0.32,,,0.07,0.39,2016,Action
7111,Chibi-Robo! Plug into Adventure!,GC,Nintendo  ,skip Ltd.  ,7.4,,0.23,0.06,0.09,0.01,0.39,2006,Adventure
7112,Star Wars The Clone Wars: Republic Heroes,X360,LucasArts  ,Krome Studios  ,,,0.18,0.17,,0.04,0.39,2009,Action
7113,Jampack Winter 2003 (RP-T),PS2,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,0.19,0.15,,0.05,0.39,2003,Misc
7114,Dragon's Crown,PSV,Atlus  ,Vanillaware  ,,,0.14,0.06,0.12,0.07,0.39,2013,Role-Playing
7115,Kengo: Master of Bushido,PS2,Crave Entertainment  ,LightWeight  ,,,0.16,0.13,0.06,0.04,0.39,2001,Fighting
7116,Blood Omen 2,PS2,Eidos Interactive  ,Crystal Dynamics  ,,,0.19,0.15,,0.05,0.39,2002,Action
7117,Advance Wars: Dual Strike,DS,Nintendo  ,Intelligent Systems  ,9.0,,0.3,0.03,0.04,0.03,0.39,2005,Strategy
7118,Super Fire ProWrestling,SNES,Human Entertainment  ,Human Club  ,,,,,0.39,0.0,0.39,1991,Fighting
7119,Cabela's Dangerous Hunts 2,PS2,Activision  ,Sand Grain Studios  ,,,0.19,0.15,,0.05,0.39,2005,Action
7120,Chessmaster,PS2,Ubisoft  ,Ubisoft Romania  ,,,0.19,0.15,,0.05,0.39,2003,Misc
7121,Fatal Fury,SNES,Takara  ,SNK Corporation  ,,,,,0.39,,0.39,1993,Fighting
7122,LocoRoco,PSP,Sony Computer Entertainment  ,SCE Japan Studio  ,8.1,,0.14,0.05,0.16,0.03,0.39,2006,Platform
7123,The Evil Within 2,XOne,Bethesda Softworks  ,Tango Gameworks  ,,,0.25,0.1,,0.04,0.39,2017,Action
7124,Madden NFL 11,PSP,EA Sports  ,EA Tiburon  ,,,0.36,,,0.03,0.39,2010,Sports
7125,Outlast II,PC,Unknown  ,Red Barrels  ,,,,,,,,N/A,Action
7126,Red Faction: Armageddon,X360,THQ  ,Volition Inc.  ,7.1,,0.18,0.16,0.01,0.04,0.39,2011,Shooter
7127,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,GB,Banpresto  ,Alpha Unit  ,,,,,0.39,,0.39,2001,Role-Playing
7128,Ice Age 2: The Meltdown,PS2,Vivendi Games  ,Eurocom Entertainment Software  ,7.4,,0.19,0.15,,0.05,0.39,2006,Platform
7129,The Sims 2,GBA,Electronic Arts  ,Maxis  ,,,0.28,0.1,,0.01,0.39,2005,Simulation
7130,RWBY: Grimm Eclipse,PC,Unknown  ,Rooster Teeth Games  ,,,,,,,,N/A,Action
7131,Robert Ludlum's The Bourne Conspiracy,PS3,Sierra Entertainment  ,High Moon Studios  ,7.6,,0.18,0.14,,0.06,0.39,2008,Action
7132,Super Famista 3,SNES,Namco  ,Namco  ,,,,,0.39,,0.39,1994,Sports
7133,Auto Modellista,PS2,Capcom  ,Capcom  ,,,0.19,0.15,,0.05,0.39,2003,Racing
7134,Mass Effect 2,PC,Electronic Arts  ,BioWare Corp.  ,9.6,,0.01,0.32,,0.05,0.39,2010,Role-Playing
7135,Hitman: Blood Money,X360,Eidos Interactive  ,IO Interactive  ,8.1,,0.29,0.06,0.01,0.03,0.39,2006,Action
7136,Tom Clancy's Ghost Recon 2: Summit Strike,XB,Ubisoft  ,Red Storm Entertainment  ,,,0.29,0.08,,0.01,0.39,2005,Shooter
7137,Silent Hill: Homecoming,PS3,Konami  ,Double Helix Games  ,7.4,,0.18,0.15,,0.06,0.39,2008,Action
7138,Zone of the Enders HD Collection,PS3,Konami Digital Entertainment  ,Kojima Productions  ,,,0.21,0.04,0.09,0.05,0.39,2012,Action
7139,SpongeBob vs The Big One: Beach Party Cook Off,DS,THQ  ,THQ  ,,,0.24,0.11,,0.04,0.39,2009,Adventure
7140,Tiger Woods PGA Tour 08,PS2,Electronic Arts  ,EA Salt Lake  ,,,0.19,0.15,,0.05,0.39,2007,Sports
7141,Hooked! Again: Real Motion Fishing,Wii,Aksys Games  ,SIMS  ,,,0.36,0.0,,0.03,0.39,2009,Sports
7142,Tiger Woods PGA Tour 14,PS3,EA Sports  ,EA Tiburon  ,,,0.16,0.16,,0.06,0.39,2013,Sports
7143,Karaoke Revolution Presents American Idol Encore,PS2,Konami  ,Blitz Games  ,,,0.19,0.15,,0.05,0.39,2008,Misc
7144,Get Fit with Mel B,PS3,Deep Silver  ,Lightning Fish  ,,,0.15,0.16,,0.07,0.39,2010,Sports
7145,Airlock,2600,Data Age  ,Data Age  ,,,0.36,0.02,,0.0,0.39,1982,Action
7146,MotoGP 08,PS3,Capcom  ,MileStone Inc.  ,,,0.07,0.24,,0.08,0.39,2008,Racing
7147,Metal Gear Solid: Snake Eater 3D,3DS,Konami Digital Entertainment  ,Konami Computer Entertainment Japan  ,7.9,,0.15,0.12,0.1,0.02,0.39,2012,Action-Adventure
7148,Tokimeki Memorial 2,PS,Konami  ,KCET  ,,,,,0.36,0.03,0.39,1999,Simulation
7149,EA Sports Active 2,X360,Electronic Arts  ,EA Vancouver  ,6.3,,0.18,0.16,,0.04,0.39,2010,Sports
7150,LEGO Star Wars III: The Clone Wars,PSP,LucasArts  ,Traveller's Tales  ,6.3,,0.14,0.16,,0.08,0.39,2011,Action
7151,Farming Simulator 2013,X360,Focus Home Interactive  ,Giants Software  ,,,0.22,0.13,0.0,0.03,0.39,2013,Simulation
7152,Little Nightmares,PS4,Namco Bandai Games  ,Tarsier Studios  ,,,0.18,0.12,0.02,0.06,0.39,2017,Platform
7153,Harry Potter: Quidditch World Cup,GBA,Electronic Arts  ,Magic Pockets  ,4.9,,0.28,0.1,,0.01,0.39,2003,Sports
7154,Tropico 5,PS4,Kalypso Media  ,Haemimont Games  ,,,0.07,0.18,0.08,0.05,0.38,2015,Simulation
7155,Wipeout 2048,PSV,Sony Computer Entertainment  ,Studio Liverpool  ,,,0.13,0.19,,0.06,0.38,2012,Racing
7156,Evil Dead: Fistfull of Boomstick,PS2,THQ  ,VIS Entertainment  ,,,0.19,0.15,,0.05,0.38,2003,Action
7157,Dance Party: Pop Hits,Wii,Nordic Games  ,Broadsword Interactive  ,,,,0.36,,0.02,0.38,2009,Misc
7158,Metal Gear Solid HD Collection,X360,Konami  ,Bluepoint Games  ,9.2,,0.25,0.1,,0.03,0.38,2011,Action
7159,Triple Play 97,PS,Electronic Arts  ,EA Sports  ,,,0.21,0.15,,0.03,0.38,1996,Sports
7160,"Cook, Serve, Delicious!",PC,Vertigo Gaming Inc.  ,Vertigo Gaming Inc.  ,,,,,,,,2013,Simulation
7161,Super Soccer,SNES,Nintendo  ,Human Entertainment  ,,,,,0.38,,0.38,1992,Sports
7162,Marvel: Ultimate Alliance,PS3,Activision  ,Raven Software  ,7.7,,0.33,0.02,,0.03,0.38,2006,Role-Playing
7163,Wario Land II (GBC),GB,Nintendo  ,Nintendo R&D1  ,,,,,0.38,,0.38,1999,Platform
7164,San Francisco Rush: Extreme Racing,PS,Midway Games  ,Climax Entertainment  ,,,0.21,0.15,,0.03,0.38,1998,Racing
7165,Diner Dash: Sizzle & Serve,DS,Eidos Interactive  ,GameLab / PlayFirst  ,,,0.33,0.02,,0.03,0.38,2007,Puzzle
7166,GRID 2,PS3,Codemasters  ,Unknown  ,,,0.07,0.25,0.01,0.06,0.38,2013,Misc
7167,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,Human Entertainment  ,Human Entertainment  ,,,,,0.36,0.03,0.38,1998,Racing
7168,Yoshi Touch & Go,DS,Nintendo  ,Nintendo EAD  ,,,0.34,0.02,,0.03,0.38,2005,Platform
7169,Viking: Battle for Asgard,PS3,Sega  ,The Creative Assembly  ,6.6,,0.14,0.18,,0.07,0.38,2008,Action
7170,Wii Sports Club,WiiU,Nintendo  ,Nintendo  ,6.7,,0.17,0.14,0.04,0.03,0.38,2014,Sports
7171,NCAA Football 08,PS3,Electronic Arts  ,EA Tiburon  ,,,0.35,,,0.03,0.38,2007,Sports
7172,ESPN College Hoops 2K5,XB,Sega  ,Visual Concepts  ,,,0.29,0.08,,0.01,0.38,2004,Sports
7173,Naruto: Clash of Ninja Revolution 2,Wii,Tomy Corporation  ,8ing/Raizing  ,,,0.34,0.02,,0.03,0.38,2008,Fighting
7174,Looney Tunes: Acme Arsenal,PS2,Warner Bros. Interactive  ,Red Tribe  ,,,0.19,0.15,,0.05,0.38,2007,Action
7175,Wolfenstein: The New Order,X360,Bethesda Softworks  ,MachineGames  ,,,0.18,0.17,,0.03,0.38,2014,Shooter
7176,Junior Classic Games,DS,Take-Two Interactive  ,Uacari  ,,,0.26,0.09,,0.03,0.38,2009,Misc
7177,The Cat in the Hat,GBA,Jack of All Games  ,NewKidCo  ,,,0.27,0.1,,0.01,0.38,2005,Platform
7178,Raving Rabbids: Travel in Time 3D,3DS,Ubisoft  ,Ubisoft Paris  ,5.8,,0.11,0.24,,0.04,0.38,2011,Platform
7179,NFL GameDay 2002,PS2,Sony Computer Entertainment  ,Red Zone Entertainment  ,,,0.19,0.15,,0.05,0.38,2001,Sports
7180,Turok: Evolution,GC,Acclaim Entertainment  ,Acclaim Studios Austin  ,7.4,,0.3,0.08,,0.01,0.38,2002,Shooter
7181,Jam Sessions: Sing and Play Guitar (US sales),DS,Ubisoft  ,Plato  ,,,0.38,0.0,,,0.38,2007,Misc
7182,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,Bandai  ,Bandai  ,,,,,0.38,,0.38,2002,Strategy
7183,Ice Age,GBA,Ubisoft  ,A2M  ,4.2,,0.27,0.1,,0.01,0.38,2002,Action
7184,Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,Namco Bandai  ,CyberConnect2  ,,,0.13,0.04,0.19,0.03,0.38,2010,Fighting
7185,Just Dance 4,WiiU,Ubisoft  ,Ubisoft  ,,,0.21,0.14,,0.03,0.38,2012,Music
7186,Sega Superstars Tennis,PS2,Sega  ,Sumo Digital  ,6.9,,0.1,0.0,,0.28,0.38,2008,Sports
7187,Headhunter,PS2,Sega  ,Amuze  ,,,0.19,0.15,,0.05,0.38,2002,Action
7188,Lego Marvel Super Heroes: Universe in Peril,DS,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,0.22,0.13,,0.03,0.38,2013,Action
7189,Shin Megami Tensei: Devil Summoner,SAT,Atlus  ,Atlus Co.  ,,,,,0.38,,0.38,1995,Role-Playing
7190,Brunswick Pro Bowling,Wii,Crave Entertainment  ,Point of View  ,,,0.35,0.01,,0.03,0.38,2007,Sports
7191,Marvel Nemesis: Rise of the Imperfects,GC,Electronic Arts  ,Nihilistic Software  ,6.0,,0.3,0.08,,0.01,0.38,2005,Fighting
7192,Saints Row: The Third,PC,THQ  ,Volition Inc.  ,8.3,,0.16,0.16,,0.05,0.38,2011,Action
7193,ESPN Extreme Games,PS,Sony Computer Entertainment  ,Sony Interactive Studios America  ,,,0.11,0.08,0.17,0.03,0.38,1995,Sports
7194,Ghost Trick: Phantom Detective,DS,Capcom  ,Capcom  ,8.2,,0.17,0.08,0.12,0.02,0.38,2011,Adventure
7195,Ninja: Shadow of Darkness,PS,Eidos Interactive  ,Unknown  ,,,0.21,0.14,,0.02,0.38,1998,Action
7196,SD Gundam G Generation-F,PS,Bandai  ,Bandai  ,,,,,0.36,0.02,0.38,2000,Strategy
7197,Bratz: Rock Angelz,PS2,THQ  ,Blitz Games  ,,,0.19,0.15,,0.05,0.38,2005,Misc
7198,FlatOut,PS2,Empire Interactive  ,Bugbear Entertainment  ,,,0.19,0.15,,0.05,0.38,2005,Racing
7199,Ice Age: Dawn of the Dinosaurs,DS,Activision  ,Artificial Mind and Movement  ,5.0,,0.2,0.15,,0.04,0.38,2009,Platform
7200,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,Unknown  ,Capcom  ,8.1,,,,0.38,,0.38,2014,Misc
7201,Iron Man 2,PSP,Sega  ,"Sega Studios, San Francisco  ",,,0.18,0.13,,0.08,0.38,2010,Action
7202,SSX 3,GC,EA Sports BIG   ,EA Canada  ,9.5,,0.29,0.08,,0.01,0.38,2003,Sports
7203,NCAA Football 11,PS2,EA Sports  ,EA Tiburon  ,6.4,,0.19,0.15,,0.05,0.38,2010,Sports
7204,Sesame Street: Elmo's A-to-Zoo Adventure,Wii,Warner Bros. Interactive  ,Black Lantern Studios  ,,,0.35,,,0.03,0.38,2010,Misc
7205,Disney's Lilo & Stitch 2: Hamsterveil Havoc,GBA,Buena Vista  ,Climax  ,,,0.27,0.1,,0.01,0.38,2004,Action
7206,FIFA 13,PSP,EA Sports  ,EA Canada  ,,,0.06,0.22,0.02,0.08,0.38,2012,Sports
7207,Rayman Legends,XOne,Ubisoft  ,Ubisoft Montpellier  ,,,0.13,0.22,,0.03,0.38,2014,Platform
7208,Risk: Global Domination,PS2,Atari  ,Cyberlore Studios  ,,,0.19,0.15,,0.05,0.38,2003,Strategy
7209,Bloody Trapland,PC,Unknown  ,2Play  ,,,,,,,,N/A,Platform
7210,Tamagotchi Connection: Corner Shop 3,DS,Namco Bandai  ,NanaOn-Sha  ,,,0.06,0.0,0.31,0.01,0.38,2008,Simulation
7211,Tales of Hearts R,PSV,Namco Bandai Games  ,7thChord  ,,,0.11,0.12,0.09,0.07,0.38,2014,Role-Playing
7212,Mobile Suit Gundam version 2.0,PS,Bandai  ,Unknown  ,,,,,0.36,0.02,0.38,1996,Action
