Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Tetris,Series,1988,Puzzle,The Tetris Company  ,Alexey Pajitnov  ,,,,,,,
2,Pokemon,Series,1998,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,
3,Super Mario,Series,1983,Platform,Nintendo  ,Nintendo  ,,,,,,,
4,Call of Duty,Series,2003,Shooter,Activision  ,Infinity Ward  ,,,,,,,
5,Grand Theft Auto,Series,1998,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
6,FIFA,Series,1993,Sports,EA Sports  ,Extended Play Productions (1991-1997)  ,,,,,,,
7,Minecraft,Series,2011,Sandbox,Mojang  ,Mojang  ,,,,,,,
8,Minecraft,All,2011,Action-Adventure,Mojang  ,Mojang AB  ,,,,,,,
9,Lego,Series,1997,Action-Adventure,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,,,,,
10,Assassin's Creed,Series,2007,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
11,The Sims,Series,2000,Simulation,Electronic Arts  ,Maxis  ,,,,,,,
12,Grand Theft Auto V,All,2013,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
13,Final Fantasy,Series,1987,Role-Playing,Square  ,Square  ,,,,,,,
14,Mario Kart,Series,1992,Racing,Nintendo  ,Nintendo  ,,,,,,,
15,Need for Speed,Series,1994,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,
16,Resident Evil,Series,1996,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
17,Tomb Raider,Series,1996,Action-Adventure,Eidos Interactive  ,Core Design  ,,,,,,,
18,The Legend of Zelda,Series,1987,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,
19,NBA 2K,Series,1999,Sports,2K Games  ,Visual Concepts  ,,,,,,,
20,Madden NFL,Series,1988,Sports,Electronic Arts  ,Park Place Productions  ,,,,,,,
21,Wii/Nintendo Sports,Series,2006,Sports,Nintendo  ,Nintendo  ,,,,,,,
22,Pro Evolution Soccer/eFootball,Series,1995,Sports,Konami  ,Konami  ,,,,,,,
23,Sonic the Hedgehog,Series,1991,Platform,Sega  ,Sonic Team  ,,,,,,,
24,Monster Hunter,Series,2004,Role-Playing,Capcom  ,Capcom  ,,,,,,,
25,The Elder Scrolls,Series,1994,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,,,,,,,
26,Gran Turismo,Series,1998,Racing,Sony Interactive Entertainment  ,Polyphony Digital  ,,,,,,,
27,Dragon Quest,Series,1986,Role-Playing,Square  ,ArtePiazza  ,,,,,,,
28,Wii Sports,Wii,2006,Sports,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65
29,Halo,Series,2001,Shooter,Microsoft Game Studios  ,Bungie  ,,,,,,,
30,Borderlands,Series,2009,Shooter,2K Games  ,Gearbox Software  ,,,,,,,
