Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
31,Mortal Kombat,Series,1992,Fighting,Warner Bros. Interactive Entertainment  ,Avalanche Software  ,,,,,,,
32,Battlefield,Series,2002,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,
33,Animal Crossing,Series,2002,Simulation,Nintendo  ,Nintendo  ,,,,,,,
34,PUBG,Series,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,
35,Red Dead,Series,2004,Action-Adventure,Rockstar Games  ,Rockstar San Diego  ,,,,,,,
36,The Witcher,Series,2007,Role-Playing,CD Projekt  ,CD Projekt Red Studio  ,,,,,,,
37,Worms,Series,1995,Strategy,Team17  ,Team17  ,,,,,,,
38,Super Smash Bros.,Series,1999,Fighting,Nintendo  ,Nintendo  ,,,,,,,
39,Mario Party,Series,1999,Party,Nintendo  ,Hudson Soft  ,,,,,,,
40,Just Dance,Series,2009,Music,Ubisoft  ,Ubisoft  ,,,,,,,
41,PlayerUnknown's Battlegrounds,All,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,
42,WWE 2K,Series,2000,Fighting,2K Games  ,Visual Concepts  ,,,,,,,
43,Dragon Ball,Series,1986,Role-Playing,Bandai  ,Tose  ,,,,,,,
44,Civilization,Series,1991,Strategy,Microprose  ,Firaxis Games  ,,,,,,,
45,God of War,Series,2005,Action,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,,,,,,,
46,Counter-Strike,Series,2000,Shooter,Valve  ,Valve  ,,,,,,,
47,Donkey Kong,Series,1981,Platform,Nintendo  ,Nintendo  ,,,,,,,
48,The Oregon Trail,Series,2071,Education,MECC  ,MECC  ,,,,,,,
49,The Elder Scrolls V: Skyrim,All,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,,,,,,,
50,Metal Gear,Series,1987,Action-Adventure,Konami  ,Konami  ,,,,,,,
51,Harry Potter/Wizarding World,Series,2001,Action-Adventure,Electronic Arts  ,Griptonite Games  ,,,,,,,
52,Diablo,Series,1997,Role-Playing,Blizzard Entertainment  ,Blizzard North  ,,,,,,,
53,Tekken,Series,1994,Fighting,Namco  ,Bandai Namco Studios  ,,,,,,,
54,Mario Kart 8 Deluxe,NS,2017,Racing,Nintendo  ,Nintendo EPD  ,9.3,,5.05,4.98,2.11,0.91,13.05
55,Lego Star Wars,Series,2005,Action-Adventure,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,,,,,
56,Red Dead Redemption 2,All,2018,Action-Adventure,Rockstar Games  ,Rockstar Studios  ,,,,,,,
57,Far Cry,Series,2004,Shooter,Ubisoft  ,Ubisoft  ,,,,,,,
58,Street Fighter,Series,1987,Fighting,Capcom  ,Capcom  ,,,,,,,
59,The Walking Dead: Telltale Games Series,Series,2012,Adventure,Telltale Games  ,Telltale Games  ,,,,,,,
60,Bejeweled,Series,2001,Puzzle,PopCap Games  ,PopCap Games  ,,,,,,,
61,Crash Bandicoot,Series,1996,Platform,Sony Interactive Entertainment  ,Naughty Dog  ,,,,,,,
62,The Witcher 3: Wild Hunt,All,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,,,,,
63,Warriors,Series,1997,Action,KOEI  ,Omega Force  ,,,,,,,
64,Kirby,Series,1992,Platform,Nintendo  ,HAL Laboratory  ,,,,,,,
65,Fallout,Series,1997,Role-Playing,Bethesda Softworks  ,Interplay Entertainment  ,,,,,,,
66,Terraria,Series,2011,Action-Adventure,505 Games  ,Re-Logic  ,,,,,,,
67,Terraria,All,2011,Platform,Re-Logic  ,Re-Logic  ,,,,,,,
68,Uncharted,Series,2007,Shooter,Sony Interactive Entertainment  ,Naughty Dog  ,,,,,,,
69,Wii Fit,Series,2008,Misc,Nintendo  ,Nintendo  ,,,,,,,
70,Star Wars: Battlefront,Series,2004,Shooter,LucasArts  ,Pandemic Studios  ,,,,,,,
71,Total War,Series,2000,Strategy,Sega  ,Creative Assembly  ,,,,,,,
72,Spider-Man,Series,1982,Action-Adventure,Parker Brothers  ,Parker Brothers  ,,,,,,,
73,Animal Crossing: New Horizons,NS,2020,Simulation,Nintendo  ,Nintendo  ,,,,,,,
74,BioShock,Series,2007,Shooter,2K Games  ,Irrational Games  ,,,,,,,
75,Gears of War,Series,2006,Shooter,Microsoft Game Studios  ,Epic Games  ,,,,,,,
76,World of WarCraft,Series,2004,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
77,Super Mario Bros.,NES,1985,Platform,Nintendo  ,Nintendo EAD  ,10.0,8.2,29.08,3.58,6.81,0.77,40.24
78,Counter-Strike: Global Offensive,PC,2012,Shooter,Valve  ,Valve Corporation  ,,,,,,,
79,Guitar Hero,Series,2005,Music,Activision  ,Harmonix  ,,,,,,,
80,Medal of Honor,Series,1999,Shooter,Electronic Arts  ,"2015, Inc.  ",,,,,,,
81,Mega Man,Series,1987,Platform,Capcom  ,Capcom  ,,,,,,,
82,Mario Kart Wii,Wii,2008,Racing,Nintendo  ,Nintendo EAD  ,8.2,9.1,15.91,12.92,3.8,3.35,35.98
83,The Last of Us,Series,2013,Action-Adventure,Sony Interactive Entertainment  ,Naughty Dog  ,,,,,,,
84,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,2017,Shooter,PUBG Corporation  ,PUBG Corporation  ,,,,,,,
85,Kingdom Hearts,Series,2002,Role-Playing,Square Enix  ,Square  ,,,,,,,
86,Tom Clancy's Rainbow Six,Series,1998,Shooter,Ubisoft  ,Ubisoft  ,,,,,,,
87,Souls,Series,2009,Role-Playing,Bandai Namco Entertainment  ,From Software  ,,,,,,,
88,Brain Age,Series,2006,Puzzle,Nintendo  ,Nintendo  ,,,,,,,
89,NBA Live,Series,1994,Sports,EA Sports  ,EA Canada  ,,,,,,,
90,Tom Clancy's Ghost Recon,Series,2001,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,,,,,
91,Marvel's Spider-Man,Series,2018,Action-Adventure,Sony Interactive Entertainment  ,Insomniac Games  ,,,,,,,
92,Dark Souls,Series,2011,Role-Playing,Bandai Namco Entertainment  ,From Software  ,,,,,,,
93,Football Manager,Series,2004,Simulation,Sega  ,Sports Interactive  ,,,,,,,
94,Minecraft,PC,2010,Misc,Mojang  ,Mojang AB  ,10.0,,,,,,
95,Wii Sports Resort,Wii,2009,Sports,Nintendo  ,Nintendo EAD  ,8.0,8.8,15.61,10.99,3.29,3.02,32.9
96,Half-life,Series,1998,Shooter,Valve  ,Valve  ,,,,,,,
97,Horizon,Series,2017,Action-Adventure,Sony Interactive Entertainment  ,Guerrilla Games  ,,,,,,,
98,Saints Row,Series,2006,Sandbox,THQ  ,Volition  ,,,,,,,
99,The Legend of Zelda: Breath of the Wild,All,2017,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,
100,Pokémon Red / Green / Blue Version,GB,1998,Role-Playing,Nintendo  ,Game Freak  ,9.4,,11.27,8.89,10.22,1.0,31.37
101,Tony Hawk's,Series,1999,Sports,Activision  ,Neversoft  ,,,,,,,
102,Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo  ,Bandai Namco Games  ,9.4,9.7,4.22,1.72,2.41,0.61,8.95
103,Call of Duty: Black Ops II,All,2012,Shooter,Activision  ,Treyarch  ,,,,,,,
104,Tom Clancy's Splinter Cell,Series,2002,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
105,Age of Empires,Series,1997,Strategy,Microsoft  ,Ensemble Studios  ,,,,,,,
106,Ratchet & Clank,Series,2002,Shooter,Sony Interactive Entertainment  ,Insomniac Games  ,,,,,,,
107,New Super Mario Bros.,DS,2006,Platform,Nintendo  ,Nintendo EAD  ,9.1,8.1,11.28,9.19,6.5,2.89,29.85
108,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo  ,Nintendo EAD  ,8.6,9.2,14.53,7.01,4.7,2.27,28.51
109,Tetris,GB,1989,Puzzle,Nintendo  ,Bullet Proof Software  ,,,23.2,2.26,4.22,0.58,30.26
110,Call of Duty: Black Ops,All,2010,Shooter,Activision  ,Treyarch  ,,,,,,,
111,Call of Duty: Modern Warfare,All,2019,Shooter,Activision  ,Infinity Ward  ,,,,,,,
112,Call of Duty: Modern Warfare 3,All,2011,Shooter,Activision  ,Infinity Ward  ,,,,,,,
113,Command & Conquer,Series,1995,Strategy,Electronic Arts  ,Westwood Studios  ,,,,,,,
114,Diablo III,All,2015,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
115,Dying Light,Series,2015,Action-Adventure,Techland  ,Techland  ,,,,,,,
116,James Bond,Series,1983,Action-Adventure,Parker Bros.  ,Richard Shepherd Software  ,,,,,,,
117,Mario & Sonic at the Olympic Games,Series,2007,Sports,Sega  ,Sega  ,,,,,,,
118,The Legend of Zelda: Breath of the Wild,NS,2017,Action-Adventure,Nintendo  ,Nintendo EPD  ,9.9,10.0,4.54,2.94,1.26,0.73,9.46
119,Wii Play,Series,2007,Party,Nintendo  ,Nintendo  ,,,,,,,
120,Devil May Cry,Series,2001,Action,Capcom  ,Capcom  ,,,,,,,
121,Splatoon,Series,2015,Shooter,Nintendo  ,Nintendo  ,,,,,,,
122,Nintendogs,Series,2005,Simulation,Nintendo  ,Nintendo  ,,,,,,,
123,Duck Hunt,NES,1985,Shooter,Nintendo  ,Nintendo R&D1  ,,,26.93,0.63,0.28,0.47,28.31
124,Naruto: Ultimate Ninja,Series,2006,Fighting,Bandai Namco Entertainment  ,CyberConnect2  ,,,,,,,
125,Wii Play,Wii,2007,Misc,Nintendo  ,Nintendo EAD  ,5.9,4.5,13.96,9.18,2.93,2.85,28.92
126,Farming Simulator,Series,2008,Simulation,Astragon  ,Giants Software  ,,,,,,,
127,Tales of,Series,1998,Role-Playing,Namco  ,Bandai Namco Studios  ,,,,,,,
128,Grand Theft Auto: San Andreas,All,2004,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
129,Yoshi,Series,1992,Platform,Nintendo  ,Nintendo  ,,,,,,,
130,Portal,Series,2007,Puzzle,Valve  ,Valve  ,,,,,,,
131,Borderlands 2,All,2012,Shooter,2K Games  ,Gearbox Software  ,,,,,,,
132,FIFA 18,All,2017,Sports,Electronic Arts  ,EA Vancouver  ,,,,,,,
133,Rayman,Series,1995,Platform,Ubisoft  ,Ubisoft  ,,,,,,,
134,Pokémon Sword / Shield,NS,2019,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,
135,Super Mario Odyssey,NS,2017,Platform,Nintendo  ,Nintendo EPD  ,9.9,,5.1,3.75,2.02,0.84,11.71
136,Grand Theft Auto IV,All,2008,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
137,Human: Fall Flat,All,2016,Platform,Curve Digital  ,No Brakes Games  ,,,,,,,
138,Puyo Puyo,Series,2002,Puzzle,Sega  ,Compile  ,,,,,,,
139,Tiger Woods PGA Tour,Series,1998,Sports,EA Sports  ,EA Redwood Shores  ,,,,,,,
140,Batman: Arkham,Series,2009,Action-Adventure,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,,,,,,,
141,Jikkyo Powerful Pro Yakyu,Series,1994,Sports,Konami  ,Konami  ,,,,,,,
142,Kinect Adventures!,X360,2010,Party,Microsoft Game Studios  ,Good Science Studio  ,6.7,,15.09,4.97,0.24,1.81,22.1
143,Petz,Series,1995,Simulation,PF.Magic  ,PF Magic  ,,,,,,,
144,Nintendogs,DS,2005,Simulation,Nintendo  ,Nintendo EAD  ,8.4,,9.05,10.96,1.93,2.74,24.68
145,Mario Kart DS,DS,2005,Racing,Nintendo  ,Nintendo EAD  ,9.1,9.4,9.71,7.51,4.13,1.91,23.26
146,Pokémon Gold / Silver Version,GB,2000,Role-Playing,Nintendo  ,Game Freak  ,9.2,,9.0,6.18,7.2,0.71,23.1
147,God of War (2018),All,2018,Action,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,,,,,,,
148,Terraria,PC,2011,Platform,Re-Logic  ,Re-Logic  ,8.8,,,0.13,,0.01,0.14
149,Yakuza,Series,2006,Action-Adventure,Sega  ,Sega  ,,,,,,,
150,Call of Duty: Modern Warfare 2,All,2009,Shooter,Activision  ,Infinity Ward  ,,,,,,,
151,Wii Fit,Wii,2008,Sports,Nintendo  ,Nintendo EAD  ,7.9,,8.92,8.03,3.6,2.15,22.7
152,Luigi's Mansion,Series,2001,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,
153,Teenage Mutant Ninja Turtles,Series,1989,Action-Adventure,Konami  ,Konami  ,,,,,,,
154,Monster Hunter: World,All,2018,Role-Playing,Capcom  ,Capcom  ,,,,,,,
155,Microsoft Flight Simulator,Series,1982,Simulation,Microsoft  ,Sublogic  ,,,,,,,
156,Pokémon Scarlet / Violet,NS,2022,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,
157,SpongeBob SquarePants,Series,2001,Action-Adventure,THQ  ,Vicarious Visions  ,,,,,,,
158,Yu-Gi-Oh!,Series,2002,Strategy,Konami  ,Konami  ,,,,,,,
159,Castlevania,Series,1986,Action-Adventure,Konami  ,Konami  ,,,,,,,
160,Dynasty Warriors,Series,1997,Action,KOEI  ,Omega Force  ,,,,,,,
161,Wii Fit Plus,Wii,2009,Sports,Nintendo  ,Nintendo EAD  ,8.0,,9.01,8.51,2.53,1.76,21.81
162,Imagine,Series,2007,Simulation,Ubisoft  ,Ubisoft  ,,,,,,,
163,Final Fantasy X/X-2,All,2001,Role-Playing,Square  ,Square  ,,,,,,,
164,Naruto: Ultimate Ninja Storm,Series,2008,Fighting,Namco Bandai Games  ,CyberConnect2  ,,,,,,,
165,Super Mario World,SNES,1991,Platform,Nintendo  ,Nintendo EAD  ,8.5,,12.78,3.75,3.54,0.55,20.61
166,The Lord of the Rings,Series,1982,Action-Adventure,Melbourne House  ,Beam Software  ,,,,,,,
167,Elden Ring,All,2022,Action-Adventure,Bandai Namco Entertainment  ,From Software  ,,,,,,,
168,Grand Theft Auto V,PS3,2013,Action,Rockstar Games  ,Rockstar North  ,9.4,,6.37,9.85,0.99,3.12,20.32
169,Super Robot Wars,Series,1991,Role-Playing,Bandai  ,Banpresto  ,,,,,,,
170,Cyberpunk 2077,All,2020,Role-Playing,CD Projekt Red Studio  ,CD Projekt Red Studio  ,,,,,,,
171,Dying Light,All,2015,Action-Adventure,Warner Bros. Interactive Entertainment  ,Techland  ,,,,,,,
172,Fallout 4,All,2015,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,,,,,,,
173,FIFA 19,All,2018,Sports,EA Sports  ,EA Vancouver  ,,,,,,,
174,Frogger,Series,1981,Action,Konami  ,Konami  ,,,,,,,
175,Gundam,Series,1997,Action-Adventure,Bandai  ,Banpresto  ,,,,,,,
176,Horizon: Zero Dawn,All,2017,Action-Adventure,Sony Interactive Entertainment  ,Guerrilla Games  ,,,,,,,
177,Lemmings,Series,1991,Puzzle,Psygnosis  ,DMA Design  ,,,,,,,
178,Marvel's Spider-Man,PS4,2018,Action-Adventure,Sony Interactive Entertainment  ,Insomniac Games  ,9.1,,3.64,3.39,0.32,1.41,8.76
179,Prince of Persia,Series,1989,Action-Adventure,Ubisoft  ,Broderbund  ,,,,,,,
180,Rayman Raving Rabbids,Series,2006,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
181,SimCity,Series,1989,Simulation,Maxis  ,Maxis  ,,,,,,,
182,Simple,Series,2002,Misc,Agetec  ,Bandai Namco Studios  ,,,,,,,
183,SingStar,Series,2004,Music,Sony Interactive Entertainment  ,London Studios  ,,,,,,,
184,Sniper Elite,Series,2005,Shooter,Rebellion Developments  ,Rebellion Developments  ,,,,,,,
185,Spyro,Series,1998,Platform,Sony Interactive Entertainment  ,Insomniac Games  ,,,,,,,
186,Stardew Valley,Series,2016,Simulation,Chucklefish  ,ConcernedApe  ,,,,,,,
187,Stardew Valley,All,2016,Simulation,ConcernedApe  ,ConcernedApe  ,,,,,,,
188,Tom Clancy's The Division,Series,2016,Shooter,Ubisoft  ,Massive Entertainment  ,,,,,,,
189,Watch Dogs,Series,2014,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
190,God of War (2018),PS4,2018,Action,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,9.7,10.0,2.83,2.17,0.13,1.02,6.15
191,Grand Theft Auto V,PS4,2014,Action,Rockstar Games  ,Rockstar North  ,9.7,,6.06,9.71,0.6,3.02,19.39
192,Super Mario Party,NS,2018,Party,Nintendo  ,"Nd Cube Co., Ltd.  ",7.3,,2.12,1.64,0.85,0.36,4.97
193,StarCraft,Series,1998,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
194,Brain Age: Train Your Brain in Minutes a Day,DS,2006,Misc,Nintendo  ,Nintendo SDD  ,8.1,,4.74,9.21,4.16,2.04,20.16
195,Call of Duty: Ghosts,All,2013,Shooter,Activision  ,Infinity Ward  ,,,,,,,
196,Driver,Series,1999,Racing,GT Interactive  ,Ubisoft Reflections  ,,,,,,,
197,WarCraft,Series,1994,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
198,Mario Kart 7,3DS,2011,Racing,Nintendo  ,Nintendo EAD / Retro Studios  ,8.2,,6.03,5.35,3.0,1.11,15.49
199,Midnight Club,Series,2000,Racing,Rockstar Games  ,Rockstar San Diego  ,,,,,,,
200,Persona,Series,1996,Role-Playing,Atlus  ,Atlus  ,,,,,,,
201,Super Mario Land,GB,1989,Platform,Nintendo  ,Nintendo R&D1  ,,,10.83,2.71,4.18,0.42,18.14
202,Ace Combat,Series,1995,Simulation,Namco  ,Namco  ,,,,,,,
203,Professor Layton,Series,2008,Adventure,Nintendo  ,Level-5  ,,,,,,,
204,The Elder Scrolls Online,All,2014,Role-Playing,Bethesda Softworks  ,ZeniMax Online Studios  ,,,,,,,
205,Metroid,Series,1987,Action-Adventure,Nintendo  ,Nintendo  ,,,,,,,
206,Need for Speed: Most Wanted,All,2005,Racing,Electronic Arts  ,EA Canada  ,,,,,,,
207,Pokémon Diamond / Pearl Version,DS,2007,Role-Playing,Nintendo  ,Game Freak  ,8.6,,6.38,4.47,6.04,1.36,18.25
208,Grand Theft Auto: Vice City,All,2002,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,
209,Grand Theft Auto: San Andreas,PS2,2004,Action,Rockstar Games  ,Rockstar North  ,9.5,,9.43,0.4,0.41,10.57,20.81
210,Super Mario Bros. 3,NES,1990,Platform,Nintendo  ,Nintendo R&D2  ,,,9.54,3.44,3.84,0.46,17.28
211,RollerCoaster Tycoon,Series,1999,Simulation,Hasbro Interactive  ,Chris Sawyer Productions  ,,,,,,,
212,Borderlands 3,All,2019,Shooter,2K Games  ,Gearbox Software  ,,,,,,,
213,SoulCalibur,Series,1996,Fighting,Namco  ,Project Soul  ,,,,,,,
214,Zuma,Series,2003,Puzzle,PopCap Games  ,Oberon Media  ,,,,,,,
215,Zuma,All,2003,Puzzle,PopCap Games  ,Oberon Media  ,,,,,,,
216,Garry's Mod,PC,2006,Misc,Valve  ,Facepunch Studios  ,,,,,,,
217,Pokemon Mystery Dungeon,Series,2006,Role-Playing,Nintendo  ,Chunsoft  ,,,,,,,
218,Pokémon X/Y,3DS,2013,Role-Playing,Nintendo  ,Game Freak  ,8.9,9.3,5.68,5.06,4.4,0.99,16.13
219,Hitman,Series,2000,Action-Adventure,Eidos Interactive  ,IO Interactive  ,,,,,,,
220,Mario Tennis,Series,1995,Sports,Nintendo  ,Nintendo  ,,,,,,,
221,Deus Ex,Series,2000,Role-Playing,Eidos Interactive  ,Ion Storm  ,,,,,,,
222,Pokémon Sun/Moon,3DS,2016,Role-Playing,Nintendo  ,Game Freak  ,9.0,,6.02,4.34,3.82,0.99,15.17
223,Uncharted 4: A Thief's End,PS4,2016,Action,Sony Interactive Entertainment  ,Naughty Dog  ,9.2,,4.49,3.93,0.21,1.7,10.33
224,Pokémon Ruby / Sapphire Version,GBA,2003,Role-Playing,Nintendo  ,Game Freak  ,8.8,,6.06,3.9,5.38,0.5,15.85
225,Grand Theft Auto: Vice City,PS2,2002,Action,Rockstar Games  ,Rockstar North  ,9.6,,8.41,5.49,0.47,1.78,16.15
226,Dead Island,Series,2011,Action-Adventure,Deep Silver  ,Techland  ,,,,,,,
227,FIFA 11,All,2010,Sports,EA Sports  ,EA Canada  ,,,,,,,
228,Mass Effect,Series,2007,Role-Playing,Electronic Arts  ,BioWare  ,,,,,,,
229,The Sims,All,2000,Simulation,Electronic Arts  ,Maxis  ,,,,,,,
230,The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,0.29,0.55,,0.07,0.91
231,Grand Theft Auto V,X360,2013,Action,Rockstar Games  ,Rockstar North  ,,,9.06,5.33,0.06,1.42,15.86
232,Call of Duty 4: Modern Warfare,All,2007,Shooter,Activision  ,Infinity Ward  ,,,,,,,
233,Call of Duty: World at War,All,2008,Shooter,Activision  ,Treyarch  ,,,,,,,
234,Pokémon Black / White Version,DS,2011,Role-Playing,Nintendo  ,Game Freak  ,8.6,9.0,5.51,3.2,5.66,0.8,15.18
235,Need for Speed: Carbon,All,2006,Racing,Electronic Arts  ,EA Canada  ,,,,,,,
236,Momotaro Dentetsu,Series,1988,Board Game,Konami  ,Hudson Soft  ,,,,,,,
237,New Super Mario Bros. U Deluxe,NS,2019,Platform,Nintendo  ,Nintendo EPD  ,,6.6,,,,,
238,Fire Emblem,Series,2003,Strategy,Nintendo  ,Intelligent Systems  ,,,,,,,
239,Ring Fit Adventure,NS,2019,Misc,Nintendo  ,Nintendo EPD  ,,,,,,,
240,Dragon Ball Xenoverse,Series,2015,Fighting,Bandai Namco Games  ,Dimps Corporation  ,,,,,,,
241,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision  ,Treyarch  ,,,6.18,6.05,0.41,2.44,15.09
242,"Pokémon: Let's Go, Pikachu/Eevee",NS,2018,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,
243,Counter-Strike: Source,PC,2004,Shooter,VU Games  ,Valve Software  ,9.3,,,0.07,,0.01,0.08
244,Assassin's Creed IV: Black Flag,All,2013,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
245,Backyard Sports,Series,1997,Sports,Humongous Entertainment  ,Humongous Entertainment  ,,,,,,,
246,Barbie,Series,1991,Action-Adventure,Hi Tech Expressions  ,Imagineering  ,,,,,,,
247,Battlefield 3,All,2011,Shooter,Electronic Arts  ,EA DICE  ,,,,,,,
248,Burnout,Series,2001,Racing,EA Sports  ,Criterion Games  ,,,,,,,
249,Dead Rising,Series,2006,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
250,Famista,Series,1986,Sports,Namco  ,Namco  ,,,,,,,
251,Gex,Series,1995,Platform,BMG Interactive Entertainment  ,Crystal Dynamics  ,,,,,,,
252,Hogwarts Legacy,All,2023,Role-Playing,Warner Bros. Interactive Entertainment  ,Avalanche Software  ,,,,,,,
253,Just Cause,Series,2006,Shooter,Eidos Interactive  ,Avalanche Studios  ,,,,,,,
254,Mario & Sonic at the Olympic Games,All,2007,Sports,Sega  ,Sega Sports R&D  ,,,,,,,
255,Mortal Kombat 11,All,2019,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,,,,,
256,Need for Speed: Underground,All,2003,Racing,Electronic Arts  ,EA Black Box  ,,,,,,,
257,Red Dead Redemption,All,2010,Action-Adventure,Rockstar Games  ,Rockstar San Diego  ,,,,,,,
258,Sonic the Hedgehog,GEN,1991,Platform,Sega  ,Sonic Team  ,,,3.03,0.91,0.26,0.13,4.34
259,Theme Park,All,1994,Simulation,Bullfrog Productions  ,Bullfrog Productions  ,,,,,,,
260,Pokémon Brilliant Diamond / Shining Pearl,NS,2021,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,
261,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.3,,6.85,5.09,1.87,1.16,14.98
262,Brain Age 2: More Training in Minutes a Day,DS,2007,Misc,Nintendo  ,Nintendo SDD  ,8.0,,3.43,5.36,5.32,1.18,15.29
263,Pokémon Legends: Arceus,NS,2022,Role-Playing,Nintendo  ,Game Freak  ,,,,,,,
264,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision  ,Infinity Ward  ,8.7,,9.07,4.29,0.13,1.33,14.82
265,Call of Duty: Black Ops,X360,2010,Shooter,Activision  ,Treyarch  ,8.8,,9.76,3.73,0.11,1.14,14.74
266,Metro,Series,2010,Shooter,THQ  ,4a-games  ,,,,,,,
